,Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,2019-02-05,141.0,142.149994,137.5,138.009995,135.37129199999998,5179500,0.0
1,1,1,2019-02-06,137.899994,139.350006,136.630005,136.979996,134.360962,2144100,2.0075193388091503
2,2,2,2019-02-07,137.149994,137.149994,132.020004,132.440002,129.907791,2985900,2.034279627993361
3,3,3,2019-02-08,131.53999299999998,132.470001,130.350006,132.08999599999999,129.56445300000001,3317600,2.002649754035877
4,4,4,2019-02-11,132.130005,134.929993,131.71000700000002,134.740005,132.163818,2174300,1.9803324261417385
5,5,5,2019-02-12,135.699997,140.0,135.33999599999999,138.800003,136.146164,2868500,1.9707492945803466
6,6,6,2019-02-13,138.759995,141.229996,138.21000700000002,140.330002,137.646942,3118900,1.9890971354792681
7,7,7,2019-02-14,139.369995,139.509995,137.880005,138.669998,136.739731,1782600,2.0119708951030635
8,8,8,2019-02-15,140.029999,140.190002,138.330002,139.070007,137.134155,2996200,1.9971236860583461
9,9,9,2019-02-19,138.600006,139.449997,137.759995,137.96000700000002,136.039627,1849500,2.008045809971581
10,10,10,2019-02-20,137.899994,141.149994,137.899994,140.330002,138.376633,2527100,1.9831112736676226
11,11,11,2019-02-21,140.190002,140.41000400000001,135.979996,136.600006,134.698547,1688900,2.027305972446297
12,12,12,2019-02-22,136.5,137.75,135.5,136.699997,134.79715,1780700,1.9992685369261567
13,13,13,2019-02-25,137.199997,138.179993,136.110001,136.199997,134.304108,2561700,2.003671072033871
14,14,14,2019-02-26,136.669998,138.440002,136.429993,136.610001,134.70842,2921500,1.9969987263231188
15,15,15,2019-02-27,137.470001,138.490005,135.690002,135.940002,134.047729,1816000,2.0049286375617386
16,16,16,2019-02-28,136.080002,138.020004,135.809998,137.71000700000002,135.793106,1669000,1.9871468672570758
17,17,17,2019-03-01,138.449997,140.820007,138.03999299999998,140.720001,138.7612,2328300,1.9786100484749147
18,18,18,2019-03-04,141.580002,143.169998,138.16000400000001,139.119995,137.183456,2698400,2.0115009061062716
19,19,19,2019-03-05,139.330002,141.179993,137.300003,140.16000400000001,138.209,1773600,1.9925798446752323
20,20,20,2019-03-06,140.5,140.979996,137.28999299999998,137.509995,135.595886,3088800,2.019271391872278
21,21,21,2019-03-07,135.880005,144.91000400000001,135.880005,143.0,141.00946000000005,5747500,1.9616083566433566
22,22,22,2019-03-08,141.990005,145.449997,140.440002,145.059998,143.040771,3994600,1.9857989933241278
23,23,23,2019-03-11,145.399994,147.449997,143.759995,146.639999,144.59878500000005,3607200,1.9892253068005001
24,24,24,2019-03-12,146.639999,151.610001,146.639999,147.759995,145.703201,3362500,1.9924201675832487
25,25,25,2019-03-13,148.350006,151.83999599999999,147.529999,150.470001,148.375458,2421000,1.9819897256463768
