,Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
75,75,75,2019-05-23,178.940002,178.940002,176.440002,178.270004,176.82373,1250200,2.011892045506433
76,76,76,2019-05-24,179.559998,180.330002,178.639999,178.809998,177.35936,1288100,1.9969800681950682
77,77,77,2019-05-28,179.259995,180.110001,177.800003,178.389999,176.94276399999995,2336500,2.002354386469838
78,78,78,2019-05-29,177.639999,178.699997,176.610001,177.610001,176.169098,1547700,2.0043916333292513
79,79,79,2019-05-30,177.66000400000001,179.46000700000005,177.66000400000001,178.820007,177.369293,1047900,1.9932333857922286
80,80,80,2019-05-31,177.470001,178.630005,176.490005,178.070007,176.62536599999999,1799600,2.004211826644113
81,81,81,2019-06-03,177.869995,178.360001,174.229996,175.16000400000001,173.738968,1774600,2.016613398798506
82,82,82,2019-06-04,177.270004,178.020004,175.770004,177.970001,176.52616899999995,2269700,1.9842108389941515
83,83,83,2019-06-05,179.419998,180.350006,178.389999,179.559998,178.103271,1492100,1.99114503777172
84,84,84,2019-06-06,180.0,180.979996,179.330002,180.399994,178.936462,1737700,1.9953437027276177
85,85,85,2019-06-07,181.630005,184.229996,181.270004,182.919998,181.43601999999998,1965900,1.9862234636586864
86,86,86,2019-06-10,184.330002,185.270004,183.729996,184.440002,182.94368,1525000,1.991758815964446
87,87,87,2019-06-11,185.759995,186.679993,183.070007,183.369995,181.88235500000002,1423400,2.0058352349303386
88,88,88,2019-06-12,183.619995,185.070007,183.220001,184.58999599999999,183.092453,1402100,1.9933907523352457
89,89,89,2019-06-13,185.869995,186.100006,184.240005,184.949997,183.449539,1323700,1.9980535225420955
90,90,90,2019-06-14,184.66000400000001,185.830002,184.139999,184.970001,183.469376,1864700,1.9998918527334602
91,91,91,2019-06-17,185.0,185.330002,183.779999,183.899994,182.408051,1177900,2.005818417808105
92,92,92,2019-06-18,184.990005,185.669998,184.28999299999998,184.5,183.003189,1972600,1.9967479349593495
93,93,93,2019-06-19,184.729996,185.380005,183.509995,183.949997,182.457657,2023500,2.002989959276814
94,94,94,2019-06-20,184.78999299999998,186.96000700000002,184.479996,186.520004,185.006805,2122000,1.9862212795148773
95,95,95,2019-06-21,187.100006,187.309998,185.190002,185.559998,184.054581,3306600,2.0051735611680703
96,96,96,2019-06-24,186.070007,187.149994,185.580002,186.110001,184.600143,1703100,1.99704474237255
97,97,97,2019-06-25,186.520004,186.66000400000001,184.479996,184.899994,183.399948,1863300,2.0065441159505935
98,98,98,2019-06-26,185.630005,185.929993,183.309998,183.309998,181.822845,2395300,2.0086738094885583
99,99,99,2019-06-27,178.800003,183.110001,177.990005,183.0,181.515366,3434500,2.0016939781420766
100,100,100,2019-06-28,184.229996,185.5,182.869995,184.770004,183.27101100000002,2937900,1.9904205013709908
101,101,101,2019-07-01,184.830002,186.96000700000002,184.429993,186.869995,185.353973,2397800,1.9887622889913386
102,102,102,2019-07-02,186.91000400000001,188.740005,186.240005,188.600006,187.069931,2123500,1.9908270893692337
103,103,103,2019-07-03,189.330002,190.970001,188.100006,190.970001,189.4207,1106900,1.987589700017858
104,104,104,2019-07-05,189.919998,191.740005,188.25,191.389999,189.837296,2111000,1.9978055384179192
105,105,105,2019-07-08,191.059998,191.139999,189.860001,190.309998,188.766068,1877200,2.0056749567093157
