,Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
43,43,43,2019-04-08,83.699997,84.0,82.779999,83.980003,79.39035799999998,3499200,1.9936889023450024
44,44,44,2019-04-09,83.769997,83.779999,82.5,82.690002,78.17085300000002,3712700,2.015600447077024
45,45,45,2019-04-10,83.199997,83.379997,82.599998,82.949997,78.416641,3641900,1.9968656418396253
46,46,46,2019-04-11,83.199997,83.25,81.230003,81.769997,77.30114,9094200,2.0144307208425114
47,47,47,2019-04-12,80.66999799999998,81.809998,79.839996,80.779999,77.377769,5011500,2.012255484182415
48,48,48,2019-04-15,80.959999,81.510002,80.370003,81.029999,77.617233,3495500,1.9969147229040445
49,49,49,2019-04-16,81.110001,81.300003,80.019997,80.209999,76.831779,3624700,2.010223164321446
50,50,50,2019-04-17,80.099998,80.199997,77.550003,77.980003,74.695702,6817100,2.028597023778006
51,51,51,2019-04-18,78.059998,78.209999,76.809998,77.57,74.302963,7784900,2.005285587211551
52,52,52,2019-04-22,77.599998,79.099998,77.5,78.150002,74.858536,5358600,1.9925783495181484
53,53,53,2019-04-23,78.150002,79.660004,77.75,78.660004,75.347054,9920600,1.9935163745987095
54,54,54,2019-04-24,79.230003,79.589996,78.440002,78.66999799999998,75.356636,7056400,1.9998729630068126
55,55,55,2019-04-25,80.050003,80.470001,76.910004,79.339996,75.998413,10442900,1.9915553562669701
56,56,56,2019-04-26,79.66999799999998,80.650002,79.400002,79.699997,76.343246,5790000,1.9954830487634772
57,57,57,2019-04-29,80.459999,80.980003,79.910004,80.300003,76.917992,6444500,1.9925279454846345
58,58,58,2019-04-30,80.68,80.690002,78.68,79.389999,76.04630999999998,9367400,2.0114624513347077
59,59,59,2019-05-01,79.599998,79.68,78.610001,78.889999,75.567368,5231700,2.006337938982608
60,60,60,2019-05-02,78.730003,78.779999,77.599998,78.470001,75.165062,5206300,2.0053523384050935
61,61,61,2019-05-03,78.720001,78.800003,78.25,78.709999,75.394951,4527300,1.9969508575397137
62,62,62,2019-05-06,77.75,79.519997,77.339996,79.260002,75.921791,5413200,1.9930607748407576
63,63,63,2019-05-07,78.599998,78.989998,77.16999799999998,77.949997,74.666962,4275300,2.0168057094344722
64,64,64,2019-05-08,77.949997,78.889999,77.32,77.989998,74.705276,3820700,1.9994871008972204
